Odsonne Edouard
Evann Guessand
Emiliano Buendia
Jean-Philippe Mateta
Morgan Rogers
Jamaldeen Jimoh-Aloba
Ismaila Sarr
Jesurun Rak-Sakyi
John McGinn
Youri Tielemans
Ross Barkley
Naouirou Ahamada
Samuel Iling-Junior
Justin Devenny
Romain Esse
Amadou Onana
Daichi Kamada
Jefferson Lerma
Ian Maatsen
Daniel Munoz
Lucas Digne
Adam Wharton
Kaden Rodney
Matty Cash
Maxence Lacroix
Will Hughes
Andres Garcia
Pau Torres
Tyrone Mings
Borna Sosa
Triston Rowe
Lamare Bogarde
Chris Richards
Ezri Konsa
Tyrick Mitchell
Marc Guehi
Nathaniel Clyne
